City,State,2021 estimate,2020 census,Change (%),2020 land area (square miles),2020 population density (people per square mile),Location
Fairfield,California,119705,119881,-0.15,41.6,2882,38°15′N 122°02′W
Wilmington,North Carolina,117643,115451,1.9,51.4,2246,34°12′N 77°53′W
North Charleston,South Carolina,117472,114852,2.28,77.6,1480,32°55′N 80°04′W
Billings,Montana,117445,117116,0.28,44.8,2614,45°47′N 108°32′W
West Palm Beach,Florida,117286,117415,-0.11,53.8,2182,26°44′N 80°07′W
Berkeley,California,117145,124321,-5.77,10.4,11954,37°52′N 122°17′W
Cambridge,Massachusetts,117090,118403,-1.11,6.4,18500,42°22′N 71°07′W
Clearwater,Florida,116674,117292,-0.53,26.1,4494,27°58′N 82°46′W
West Jordan,Utah,116541,116961,-0.36,32.3,3621,40°36′N 112°00′W
Evansville,Indiana,116486,117298,-0.69,47.4,2475,37°59′N 87°32′W
Richardson,Texas,116382,119469,-2.58,28.6,4177,32°58′N 96°42′W
Broken Arrow,Oklahoma,116330,113540,2.46,63.0,1802,36°02′N 95°47′W
Richmond,California,115639,116448,-0.69,30.1,3869,37°57′N 122°22′W
League City,Texas,115595,114392,1.05,51.3,2230,29°29′N 95°06′W
Manchester,New Hampshire,115462,115644,-0.16,33.1,3494,42°59′N 71°26′W
Lakeland,Florida,115425,112641,2.47,66.2,1702,28°03′N 81°57′W
Carlsbad,California,115302,114746,0.48,37.8,3036,33°07′N 117°17′W
Antioch,California,114794,115291,-0.43,29.2,3948,37°58′N 121°47′W
Westminster,Colorado,114561,116317,-1.51,31.6,3681,39°53′N 105°04′W
High Point,North Carolina,114086,114059,0.02,56.4,2022,35°59′N 79°59′W
Provo,Utah,114084,115162,-0.94,41.7,2762,40°14′N 111°38′W
Lowell,Massachusetts,113994,115554,-1.35,13.6,8497,42°38′N 71°19′W
Elgin,Illinois,113911,114797,-0.77,38.0,3021,42°02′N 88°19′W
Waterbury,Connecticut,113811,114403,-0.52,28.5,4014,41°33′N 73°02′W
Springfield,Illinois,113394,114394,-0.87,61.1,1872,39°47′N 89°38′W
Gresham,Oregon,113103,114247,-1.0,23.5,4862,45°30′N 122°26′W
Murrieta,California,112991,110949,1.84,33.6,3302,33°34′N 117°11′W
Lewisville,Texas,112944,111822,1.0,37.0,3022,33°02′N 96°59′W
Las Cruces,New Mexico,112914,111385,1.37,76.9,1448,32°19′N 106°47′W
Lansing,Michigan,112684,112644,0.04,39.1,2881,42°43′N 84°33′W
Beaumont,Texas,112556,115282,-2.36,82.5,1397,30°05′N 94°08′W
Odessa,Texas,112483,114428,-1.7,51.1,2239,31°53′N 102°20′W
Pueblo,Colorado,112368,111876,0.44,55.4,2019,38°16′N 104°37′W
Peoria,Illinois,111666,113150,-1.31,48.0,2357,40°45′N 89°37′W
Downey,California,111645,114355,-2.37,12.4,9222,33°56′N 118°08′W
Pompano Beach,Florida,111348,112046,-0.62,24.0,4669,26°14′N 80°08′W
Miami Gardens,Florida,110867,111640,-0.69,18.2,6134,25°56′N 80°14′W
Temecula,California,110846,110003,0.77,37.3,2949,33°29′N 117°08′W
Everett,Washington,110812,110629,0.17,33.2,3332,47°57′N 122°11′W
Costa Mesa,California,110750,111918,-1.04,15.8,7083,33°40′N 117°55′W
Ventura,California,109925,110763,-0.76,21.9,5058,34°16′N 119°15′W
Sparks,Nevada,109796,108445,1.25,36.4,2979,39°33′N 119°44′W
Santa Maria,California,109711,109707,0.0,22.8,4812,34°56′N 120°26′W
Sugar Land,Texas,109373,111026,-1.49,40.5,2741,29°35′N 95°37′W
Greeley,Colorado,109323,108795,0.49,48.9,2225,40°25′N 104°46′W
South Fulton,Georgia,108575,107436,1.06,85.2,1261,33°35′N 84°40′W
Dearborn,Michigan,108420,109976,-1.41,24.2,4544,42°19′N 83°13′W
Concord,North Carolina,107697,105240,2.33,63.5,1657,35°24′N 80°36′W
Edison,New Jersey,107626,107588,0.04,30.1,3574,40°31′N 74°25′W
Tyler,Texas,107192,105995,1.13,57.5,1843,32°19′N 95°18′W
